26
9
92;265;111;361;274;370;128;344;229;360;317;242;124;194;50;51;100;296;199;296;150;183;153;201;389;309
863;0;1013;1080;957;805;885;0;1166;989;849;0;969;1019;0;0;0;1091;0;0;797;931;742;846;0;992
754;0;824;793;0;0;801;762;1043;1146;879;827;1071;721;1102;806;0;747;0;779;830;0;925;713;992;837
804;904;0;1127;891;0;715;923;778;0;0;979;728;0;985;1172;910;811;0;1092;861;1136;1074;1107;893;1059
1124;793;0;996;751;1160;1120;1016;1165;1177;1162;752;946;0;0;928;963;1083;0;0;0;793;808;0;786;1087
1010;741;891;803;0;963;0;859;1133;848;0;776;0;901;0;955;0;1023;751;1079;1104;1189;919;0;742;796
1014;721;872;757;936;1047;719;1010;1168;885;781;1160;1095;998;1012;816;862;859;1029;894;1108;1064;932;0;912;0
812;0;0;1027;1100;0;0;1022;710;871;0;921;1125;816;0;0;1177;876;1044;1098;856;718;0;1050;783;850
1117;842;931;964;883;772;798;1087;0;1110;805;1037;0;1135;1145;1126;999;802;1147;817;966;1191;1001;710;0;0
1161;879;831;0;1095;1043;702;1126;845;0;911;951;785;1130;0;947;943;810;1067;0;1151;1107;795;821;718;710
