19
9
241;195;93;381;236;382;90;70;202;247;249;282;329;332;64;315;177;263;220
818;0;1081;928;0;1085;0;0;0;0;0;0;0;0;0;0;707;0;0
0;1006;0;1192;891;977;0;1137;1053;0;741;752;1197;948;877;908;0;796;1119
0;884;925;1159;709;913;870;0;984;0;0;0;948;0;1157;907;1019;1047;0
1099;736;0;704;0;0;907;0;0;0;1129;724;0;726;1141;1174;0;0;874
0;0;848;0;1061;0;0;0;836;0;0;0;871;1103;767;0;760;0;887
968;1158;1041;0;0;874;0;846;1129;807;0;0;0;793;0;799;0;0;707
868;881;741;0;1155;0;955;0;1108;0;0;906;0;966;0;0;961;0;1139
741;958;783;0;0;1072;961;0;0;726;985;0;806;0;0;776;0;1130;0
0;701;0;1136;1135;0;1093;0;0;0;0;1082;0;0;0;1158;0;952;886
