25
9
257;57;299;286;180;205;240;230;248;360;319;294;204;91;281;93;249;112;149;42;124;222;44;212;288
947;1153;1014;0;0;1139;1035;0;722;1002;994;957;0;0;1157;0;1157;0;803;883;0;0;981;0;0
875;926;981;0;0;0;764;1169;751;0;765;0;1175;996;0;0;886;787;0;831;1149;757;924;918;955
0;827;0;864;0;0;0;1047;1154;0;881;0;721;906;0;946;878;0;718;887;0;0;858;0;0
0;0;1012;998;0;1047;0;0;0;0;0;948;730;0;0;819;769;918;0;0;0;922;1198;1180;0
0;1033;0;1169;1139;0;757;0;0;0;829;0;0;0;0;852;0;0;0;0;889;703;1033;768;0
0;0;742;739;0;778;745;718;0;1137;0;1197;0;1036;1136;954;761;0;1183;0;745;1042;0;0;0
0;941;0;0;1096;0;0;0;802;0;0;977;1052;0;1007;981;921;1060;720;0;0;1134;0;949;0
0;1145;0;0;1186;953;777;0;0;0;967;0;0;0;832;0;0;960;0;1150;0;1198;0;0;0
704;798;704;1169;0;0;0;0;0;1060;1068;950;889;1003;0;0;0;1128;983;1084;1019;0;1011;0;0
