29
9
222;385;39;31;220;268;370;338;197;37;367;99;250;42;61;242;378;370;283;31;255;52;282;199;317;106;82;158;144
989;727;1182;906;0;959;0;0;0;0;1102;0;935;708;1185;1062;974;911;0;0;802;972;0;0;0;854;806;1100;998
1020;0;907;802;708;1121;1003;0;939;1003;983;927;994;0;1162;0;0;731;1196;1000;0;1049;1130;951;0;938;1073;755;0
1039;0;0;1094;0;1127;980;1115;882;1003;1115;1091;0;1181;0;889;767;853;976;0;848;990;0;1014;706;1133;809;1171;0
0;0;1107;1151;1106;0;1089;807;1173;843;0;942;736;0;916;928;918;947;0;939;0;773;814;1057;0;836;1009;820;771
0;1046;935;812;0;1189;1093;745;1194;786;1167;897;960;0;0;0;702;0;1039;936;0;936;1108;888;790;834;705;0;1166
1020;1150;935;0;1003;902;1025;1108;0;800;916;0;932;968;0;1183;1069;1084;0;0;0;997;746;0;0;0;0;885;1048
993;1184;0;1026;1041;0;1171;934;868;1045;813;917;926;866;0;0;828;1040;826;1026;1169;1178;892;739;889;0;787;1039;1072
0;802;811;893;1005;0;1098;0;932;1075;1175;884;904;853;0;0;870;0;797;811;718;892;0;0;836;0;0;0;0
1057;0;0;0;1007;1029;1181;0;713;900;916;1056;0;984;860;1010;0;0;0;1160;833;844;744;1155;0;850;0;0;719
