22
9
57;212;115;58;186;140;247;129;240;65;204;157;45;266;274;315;97;142;152;377;110;48
817;0;905;971;719;0;908;861;812;1092;747;1100;1034;1070;753;1089;0;1108;1136;901;0;734
1188;1113;0;1084;829;729;1140;835;1027;1100;999;0;976;984;0;1110;901;954;1068;704;936;1160
0;1198;850;1172;1179;797;956;0;1031;0;913;0;884;1181;1033;1117;994;737;785;727;0;0
0;0;1123;766;0;1088;1104;839;717;1025;750;819;959;794;976;931;1168;1040;0;978;1113;1092
973;1116;0;761;0;1018;0;1159;0;904;0;745;870;760;1164;1075;1044;0;941;0;918;1193
1075;1172;1037;961;1177;754;0;0;752;1017;1047;1051;732;765;1012;1193;788;743;705;1191;1053;883
764;722;1141;1177;1041;744;794;1034;0;728;902;1030;916;732;1181;921;954;1199;768;1121;1039;801
0;0;704;1093;807;733;803;898;0;792;1143;919;1031;1113;855;0;1098;1168;914;0;969;0
1039;1003;1176;996;735;762;1004;1163;995;1022;940;1067;0;1140;707;0;904;707;1177;1114;1145;930
