17
9
237;122;136;116;368;98;39;281;143;102;143;218;223;200;359;161;212
0;980;0;1047;0;742;1197;0;0;895;0;0;0;1055;0;0;1136
733;1199;0;0;0;0;1132;0;0;720;910;841;846;0;1030;1032;0
0;0;0;1035;740;1007;1097;955;999;1061;0;1192;0;0;807;844;0
752;1159;783;764;849;849;719;0;967;0;0;731;1156;0;1029;0;0
899;1073;0;0;1187;1079;791;772;0;0;782;0;0;0;0;0;1031
0;1087;1062;1136;1074;0;0;0;882;1027;1159;974;0;1141;0;1075;823
1084;749;970;910;0;0;714;753;1056;977;0;0;739;0;0;0;0
0;0;0;1036;1162;0;0;0;990;1127;0;0;0;1137;795;0;939
0;0;0;0;943;711;962;824;1119;0;0;0;1138;0;1022;749;929
