24
9
286;89;247;218;145;235;275;210;305;266;126;365;286;201;124;160;227;208;270;185;79;144;343;378
0;0;977;1135;0;1078;915;1076;0;999;0;0;0;977;1024;774;773;912;1160;960;833;0;922;1064
1078;921;808;812;865;833;778;0;996;1136;1106;1064;0;0;1145;793;1061;0;0;1080;0;1109;0;771
982;990;956;0;1145;0;848;834;742;922;0;0;954;705;890;967;0;0;1181;920;0;887;1104;734
0;757;778;864;707;767;0;983;905;0;1053;0;1036;876;956;1046;719;0;743;745;835;752;0;829
0;0;717;1052;984;761;1127;0;1160;851;892;812;899;1193;0;1130;1053;1193;0;803;0;983;1162;0
1001;904;1145;1126;770;0;1070;1192;1094;1110;773;1102;0;1118;1109;0;0;0;0;966;0;0;1124;740
0;0;1057;1069;0;960;0;0;0;0;1084;989;0;1114;889;948;1030;936;1137;837;794;1093;0;1136
0;1041;938;814;964;881;774;1062;981;0;994;0;788;1087;894;1078;792;807;0;0;0;962;794;1056
0;809;1180;0;0;970;0;1090;1006;941;0;0;743;0;764;778;934;790;0;1110;736;0;967;900
