29
9
226;347;339;124;203;141;199;186;333;243;140;383;141;154;347;107;215;47;212;114;104;102;210;270;54;211;381;211;363
1045;0;811;0;1045;1099;835;851;0;0;0;0;0;1105;1170;850;816;825;852;0;1031;791;953;0;1075;1089;0;1043;1114
1059;1079;0;0;0;746;0;1155;836;1165;1110;0;980;726;764;841;1049;0;827;0;992;0;725;1054;0;857;1093;786;0
1018;1078;1030;0;1044;0;0;803;918;0;904;1184;0;1104;0;773;784;853;0;0;0;1045;1131;0;1013;835;0;1056;1105
0;0;0;1053;851;859;0;995;791;1090;1052;0;0;0;740;0;872;0;0;1107;914;981;0;914;1057;0;1140;1132;1125
798;777;0;0;0;822;708;0;1051;800;0;814;0;710;913;1176;726;0;865;0;0;737;0;0;0;763;0;0;0
0;762;992;1068;0;0;0;992;995;1167;948;724;1107;0;908;816;841;741;0;922;0;1134;1091;916;0;0;725;0;0
0;0;0;1152;0;0;0;749;0;711;1013;0;1195;0;0;1110;0;0;1003;1171;1012;1127;1061;1010;0;0;1066;0;0
783;1028;1189;1075;747;0;1006;0;1030;1183;0;0;0;0;906;0;0;827;1107;754;0;838;0;964;806;0;920;0;0
878;942;1197;730;1133;1170;985;962;935;824;0;0;1059;998;0;972;823;971;0;0;1192;0;951;950;1061;941;776;0;0
