50
15
230;118;85;273;230;374;326;359;312;111;333;109;301;219;252;283;288;381;245;95;221;218;64;302;47;83;39;197;70;239;31;109;348;317;131;205;243;263;270;161;141;243;357;105;326;203;223;308;90;172
0;1161;744;1032;866;738;824;0;863;975;792;1166;707;811;780;901;0;1060;1085;0;1175;761;1193;967;1021;848;1067;716;789;1006;0;0;788;849;1192;722;721;1095;893;1103;888;727;769;0;0;0;856;731;801;1049
869;936;904;968;953;1006;700;874;0;1113;826;1018;1154;905;821;1034;899;1132;1136;930;0;1017;763;1121;993;0;745;1036;825;1188;709;0;0;810;0;763;877;795;0;926;0;1162;759;0;1027;973;1091;0;920;0
809;1006;734;802;709;0;723;0;766;925;986;1084;932;1140;1158;0;0;809;785;1037;1136;0;0;1003;835;729;1001;0;904;753;1107;1051;1091;988;859;802;936;0;1170;837;975;803;935;883;1152;1184;989;778;772;1138
784;1101;1091;755;0;896;1160;0;1085;0;997;1040;938;1111;0;1039;917;967;1034;937;0;0;1155;961;961;0;737;1180;793;762;731;0;1046;725;865;804;0;926;951;1113;0;957;0;0;853;724;727;0;1046;770
1013;818;748;872;1079;1148;1141;913;0;826;0;922;0;942;756;0;897;937;0;1017;0;775;0;848;1147;815;975;0;0;1192;0;883;1063;1154;1053;1023;1044;786;0;756;0;932;970;917;845;0;1168;0;754;1173
720;848;710;782;1009;916;747;0;1055;0;1176;716;911;1137;1045;1001;0;899;969;0;840;845;1138;715;1180;995;1119;836;0;774;1067;0;1056;1050;1046;958;0;0;893;0;790;741;0;845;1080;0;979;791;0;941
805;1025;947;0;828;1083;1133;1083;0;961;1075;988;1053;876;863;982;1001;806;822;1042;732;750;931;809;866;952;709;847;885;0;0;793;930;0;1174;855;0;809;886;1174;1010;868;1161;0;1089;979;725;895;1143;948
884;762;834;833;0;816;897;1180;737;880;1124;823;0;1107;0;1013;0;0;1165;818;0;782;849;0;1189;932;0;1011;1138;708;734;793;0;1042;999;1130;1181;0;1103;992;858;0;1118;794;708;1182;0;0;723;1096
793;1052;875;0;1158;0;918;806;925;780;0;965;1082;1170;1089;0;1065;726;0;1015;1047;1041;1049;1131;866;0;1059;0;1180;789;1046;845;1051;906;787;1108;0;1149;0;1065;844;898;1075;1175;0;744;843;715;1042;824
1075;1071;1169;918;1085;0;839;987;1143;1137;1163;0;756;1102;709;1180;730;0;0;951;1078;1005;965;0;944;765;712;944;1072;1143;980;1105;0;886;0;1080;824;884;716;0;804;859;1092;965;852;1096;737;1091;809;0
871;700;935;1009;0;1047;1043;738;1193;833;0;1150;949;0;1093;942;756;950;1133;1150;0;0;956;1030;800;1043;1080;752;0;782;908;970;1055;958;1065;798;1173;1089;892;936;0;1049;708;1181;0;1109;1116;0;0;830
815;0;755;837;755;1090;943;0;1022;0;0;1042;724;1145;0;998;723;930;1149;0;998;880;800;912;983;1104;860;1013;1183;1101;726;983;898;1159;890;0;871;1064;975;0;0;866;840;0;917;0;0;873;0;986
1007;782;0;779;918;928;1079;772;904;0;958;0;921;733;0;1130;1102;930;955;832;1182;0;972;803;939;922;1136;1161;897;825;0;0;776;825;962;748;953;1187;940;887;1183;0;840;921;1008;0;0;770;777;0
0;818;902;1062;850;956;968;0;1180;0;0;0;914;0;967;0;745;0;1040;1148;1054;0;843;0;1195;1190;1031;1174;1122;806;1197;0;843;918;761;1183;1088;1159;770;1023;821;1060;966;1049;1065;1031;759;948;980;1138
711;887;1081;1012;0;778;1060;968;1041;924;705;0;1116;815;0;748;1097;1010;0;805;1162;710;1127;0;914;1085;940;731;852;738;715;866;786;1064;895;0;722;1044;708;819;880;0;0;0;0;799;1124;1168;0;1124
