14
9
347;142;218;311;40;299;38;239;260;69;387;319;154;40
722;732;824;1103;1087;0;725;0;812;0;0;1187;1127;1140
1184;1177;1153;1086;1074;885;712;1038;956;1127;1020;721;777;0
816;1059;809;889;0;1035;1197;0;1128;903;1149;896;1081;1016
1044;818;853;982;0;1092;1181;884;720;932;927;1048;926;710
808;867;1106;1177;1145;880;777;1184;1000;1176;0;1179;1035;0
1150;863;1092;851;0;816;869;1029;0;783;0;931;719;1182
1150;730;0;0;864;803;0;732;1018;906;883;0;1181;790
942;1138;822;1153;894;1195;1079;758;1007;979;1125;785;856;0
1075;749;1003;963;1073;907;0;975;1125;1167;804;761;885;730
