17
9
58;327;382;335;382;192;37;195;363;103;85;277;281;159;198;188;226
1052;1047;1085;793;0;0;805;1061;0;0;0;717;0;0;0;714;998
1020;992;0;1133;770;869;713;1086;0;746;925;1064;1175;1127;1071;987;0
0;849;812;0;1139;0;0;1115;958;849;0;908;878;1170;990;1167;1039
0;0;749;886;795;858;1170;1102;884;0;841;788;858;0;1076;1019;0
1060;0;1081;1018;1076;1094;0;999;707;773;952;935;0;958;1013;981;1011
1155;1151;0;0;1018;0;956;820;878;1035;1007;729;1074;969;937;894;764
994;836;743;970;1122;1011;826;717;906;772;0;0;762;0;0;992;903
979;1021;0;0;751;937;1153;1140;1063;1169;0;790;0;1085;1120;860;0
1058;981;1116;987;929;0;835;1034;979;1157;0;889;968;1191;1109;1122;854
