21
9
147;245;101;306;325;72;381;169;116;42;226;261;276;126;177;224;367;174;256;374;278
1013;1181;1185;0;0;0;798;1153;0;0;1118;0;0;977;1100;0;818;788;0;0;1037
0;814;1108;1037;0;0;1196;0;0;0;0;1028;797;0;0;0;0;919;735;0;878
0;0;826;0;977;0;979;0;728;737;0;0;0;0;0;820;0;1168;1188;0;0
1060;0;0;0;0;0;1065;839;705;889;1190;0;0;881;885;1173;0;0;984;0;1053
0;0;0;717;0;0;0;0;0;0;1052;835;0;0;0;1181;0;919;0;775;0
817;854;859;0;866;832;1164;0;0;0;872;1149;0;983;940;0;930;1171;0;1028;924
930;0;779;0;0;765;1167;764;0;884;0;940;1035;0;0;1045;842;0;702;906;0
0;0;768;901;0;891;0;1036;0;786;0;0;0;849;0;979;934;1195;812;702;0
849;1116;992;1002;0;1051;753;730;0;0;957;741;873;1126;1066;990;1174;0;1084;1153;772
