24
9
385;276;162;289;116;119;64;215;143;206;203;224;364;123;384;311;264;302;108;175;139;296;323;192
0;0;1145;0;0;1018;0;964;0;1191;0;1092;0;0;767;0;0;0;0;0;1106;0;0;0
835;0;0;0;0;861;0;868;0;0;0;0;0;0;831;862;865;915;0;0;0;0;1150;0
1082;1041;0;1019;1171;1171;0;997;0;0;730;0;1025;0;801;0;799;0;0;755;947;0;857;945
1129;1123;0;0;1052;0;0;803;826;0;1133;798;847;0;776;833;0;1038;0;0;0;0;0;0
0;933;841;0;0;1013;0;839;0;0;1059;0;1132;0;1188;0;847;742;1005;1019;0;879;921;1110
773;1173;0;947;971;908;0;1022;776;0;0;0;0;0;0;772;913;0;1162;1010;1116;0;742;1195
883;1151;0;0;0;0;748;739;1067;0;0;0;0;0;0;0;0;788;1125;1048;1184;1137;0;0
0;0;908;924;0;1194;1196;0;0;840;786;0;0;767;969;0;957;0;997;0;793;0;0;755
0;1059;0;0;1056;993;914;0;768;845;0;0;0;1104;0;0;0;887;759;899;721;1102;1060;1134
