25
9
276;174;160;119;171;359;95;76;310;43;104;115;215;305;343;258;297;378;326;340;258;216;389;219;126
1111;0;899;781;0;0;0;0;1161;1061;1102;0;1177;962;1108;1150;774;1124;851;0;1108;0;1003;1169;0
983;951;929;802;1065;790;908;942;761;918;0;1019;709;971;1073;1163;1146;840;0;1030;790;1070;798;0;1169
991;899;845;0;947;1107;1160;1082;830;984;793;1198;964;916;0;1123;1117;1009;732;1169;1028;895;1059;879;940
0;930;841;975;860;970;937;706;998;0;942;784;0;0;703;0;906;1016;767;1144;1183;1136;841;0;0
864;776;972;739;1066;715;749;0;0;0;899;904;1041;1179;738;700;931;971;821;0;777;734;758;1004;1174
0;1098;842;0;1089;1019;1069;1083;1112;0;971;1124;1070;717;890;930;739;1141;0;0;1169;998;1049;0;938
993;1038;0;965;1143;780;0;786;861;1181;0;913;1090;0;839;0;748;0;1167;1096;1038;708;1150;0;1078
1080;1162;0;0;0;751;1134;1193;1197;1043;814;1106;826;882;1011;943;733;0;1150;965;873;875;763;1178;0
0;916;0;1134;938;741;0;1110;1084;935;1017;0;992;931;1072;0;914;1120;980;1111;945;829;1076;0;865
