14
9
265;199;32;213;343;214;166;127;161;358;125;75;255;200
951;1194;0;1169;0;1092;751;0;1005;770;1143;1135;1128;741
900;776;0;1123;998;0;954;0;851;804;839;1048;876;0
1052;1009;1022;826;0;890;0;703;1155;1090;1029;779;791;1054
935;876;900;0;0;1085;1020;0;0;1057;846;889;0;702
1124;1177;752;870;1128;861;1041;0;1054;802;1006;1036;0;836
949;0;0;806;0;769;743;1142;0;0;1057;0;0;0
0;922;0;0;0;1003;827;990;813;0;801;825;837;0
1015;1146;928;0;1120;0;1176;832;700;1022;899;1070;0;1059
701;866;1130;942;0;990;0;0;1109;936;791;1108;1199;1196
