13
9
51;30;340;260;158;280;111;302;358;324;286;346;42
0;868;0;0;887;0;1024;1052;1157;982;736;952;1140
837;0;753;829;1173;1060;936;836;1067;995;859;911;857
0;0;859;0;0;854;743;911;1164;807;704;826;1016
872;798;990;796;801;854;882;764;734;1164;832;1122;0
994;766;1149;1085;722;0;743;1171;887;1178;816;726;973
727;1078;943;1075;836;963;1021;1064;893;0;1108;890;0
0;773;772;928;745;974;946;938;0;883;719;0;1143
876;836;882;1129;850;1167;1191;953;946;874;952;942;1153
0;0;1145;773;839;1041;789;835;1168;1075;1165;0;1087
