16
9
141;222;264;40;190;303;114;250;378;381;326;308;84;283;327;284
0;823;1134;0;0;0;0;0;952;1031;0;1066;0;0;1139;0
0;741;1059;722;0;1108;0;1163;1074;940;810;822;848;0;749;0
0;1001;0;785;749;0;0;902;779;804;1070;0;0;0;0;0
0;949;782;783;1123;0;0;0;0;0;0;946;0;0;843;1161
0;0;0;795;996;0;0;0;0;0;1070;1013;1008;927;775;831
1044;0;919;0;838;1164;0;871;740;0;0;0;1094;704;1168;870
1069;843;0;890;0;884;0;0;853;934;1008;0;913;1164;1060;0
0;945;848;0;760;894;819;1035;0;0;0;966;0;0;1134;728
949;847;859;1027;1146;842;0;747;1132;780;1050;877;1054;1146;1157;0
