25
9
287;285;153;212;204;33;211;279;320;138;78;283;118;61;328;278;105;193;386;219;95;80;127;259;375
906;1101;1159;1186;0;1056;815;961;1130;834;0;1089;1083;987;1046;1123;0;1196;0;1088;0;0;0;1054;927
860;729;1072;0;1068;850;856;0;0;830;1095;766;750;913;821;1133;0;758;0;799;1178;1057;0;0;843
0;0;799;882;0;0;848;789;978;1139;720;711;762;1175;0;870;738;910;0;755;921;854;1061;0;1124
723;1089;1143;944;1119;1080;1161;941;718;871;778;909;0;1050;1080;799;1033;992;956;0;930;768;1084;0;1021
0;958;857;909;766;948;702;748;992;946;1043;969;0;1183;0;1075;1147;708;905;704;849;1193;1053;941;973
733;960;1038;0;1177;0;915;759;1166;1084;957;0;0;1004;0;980;0;737;0;1162;0;770;1192;1171;1140
1022;818;974;924;898;1089;0;1092;1056;886;779;711;1049;0;0;0;1160;911;733;0;967;820;945;0;946
0;781;916;1149;0;864;983;921;1143;949;801;0;1053;0;960;1154;861;964;828;1159;1031;994;994;1082;866
957;1111;0;974;1079;839;1007;755;1139;0;1126;780;725;0;753;779;890;879;729;759;884;792;825;728;1158
