26
9
298;289;246;299;238;247;32;148;112;325;264;370;220;214;372;290;301;322;51;387;332;247;226;111;223;389
1046;0;883;1189;999;1198;790;0;0;0;1086;1172;1178;1131;1022;997;874;855;0;0;0;835;717;1151;1092;0
701;769;986;884;1006;851;1114;859;0;820;942;853;0;1050;868;902;0;1173;1078;936;0;846;0;831;1138;1035
1170;709;1163;817;1074;0;0;1174;749;1181;0;711;0;965;939;983;0;903;0;762;0;0;1083;885;960;1096
866;0;1120;1144;887;1109;0;809;947;830;746;868;0;0;926;893;744;0;1095;949;932;720;0;1105;765;0
1015;1126;1108;847;791;0;1136;0;989;763;0;1054;1115;844;0;985;0;939;977;0;1167;0;727;1044;0;0
0;0;1162;900;859;1134;1163;835;1091;737;979;978;982;0;0;1023;0;0;1049;0;0;744;1108;0;792;0
1120;1084;1112;888;892;0;1117;963;966;791;1083;792;0;973;0;1037;1101;739;790;892;1090;941;0;867;0;1134
870;0;884;0;0;1196;1017;0;1188;910;910;0;866;0;714;0;702;759;0;1198;0;881;1197;799;0;820
867;0;771;865;801;771;711;0;863;706;1129;1076;0;1071;1015;0;850;0;0;728;1135;935;844;902;848;1141
