19
9
375;63;383;283;67;289;341;250;211;192;56;226;336;77;181;327;329;58;41
870;0;993;1147;700;0;0;992;916;768;0;885;1042;861;1141;1141;1137;720;0
778;874;798;1137;1056;1164;723;0;908;837;0;0;986;733;0;726;916;0;1042
898;1090;908;0;0;997;1078;781;0;0;906;0;930;1112;1027;0;795;824;1082
1001;971;801;750;1139;974;1056;712;0;841;0;794;1166;1171;1090;714;848;1076;994
1055;0;1060;0;1022;999;1113;0;1190;0;0;1074;0;0;1021;732;797;746;1089
0;1028;1091;0;0;1077;759;945;1155;968;0;0;0;0;0;780;865;948;731
1131;0;786;0;1146;0;1069;964;0;960;937;0;0;1039;850;1158;1041;1174;957
1105;905;1089;1108;1072;1135;714;724;0;1136;946;1166;727;0;1031;785;0;0;836
0;845;708;0;1114;1015;0;1093;886;1016;829;1180;946;941;966;0;920;852;1180
