22
9
228;92;339;119;256;358;184;318;281;175;85;203;155;378;117;151;228;172;104;193;343;165
0;0;1189;857;947;1026;0;1044;1085;884;857;1150;0;0;730;970;0;0;1162;855;1014;764
959;867;865;0;909;713;771;879;0;723;883;0;902;711;0;744;968;0;0;0;956;1001
929;0;881;775;721;803;797;0;897;1080;1157;0;935;1179;1137;0;0;755;865;1061;1194;928
1120;780;1040;1180;908;921;873;898;798;1179;0;1104;860;0;0;813;0;0;751;908;995;875
1062;0;922;876;956;1159;0;1148;0;706;914;1185;0;1167;0;1187;897;1068;744;948;1152;983
1116;0;1126;0;1047;1175;809;1119;917;1143;1179;1184;0;1140;999;0;771;923;852;0;705;755
0;0;1005;1052;977;0;0;0;1110;1151;1006;0;727;0;726;1123;0;852;0;1099;744;0
855;1073;817;760;904;957;733;779;830;1180;789;960;1083;1081;703;856;890;929;0;1050;751;939
1063;851;902;0;1045;1081;0;815;754;787;1136;711;909;1130;896;870;1091;960;1182;1089;710;841
