16
9
280;92;216;107;331;160;35;93;113;56;348;54;81;100;46;354
809;0;828;1080;966;1006;708;0;0;1106;952;0;0;0;1038;772
0;0;1131;0;0;839;0;0;0;844;0;0;0;0;1130;958
740;0;1021;825;892;0;0;1123;0;0;890;1092;850;870;0;839
0;0;782;1034;0;1122;0;1070;0;0;1149;710;760;1049;0;0
701;945;992;0;925;0;1131;874;0;1048;1020;1101;1085;707;801;0
1167;1007;0;0;873;0;0;1072;959;806;1103;0;0;730;0;0
0;0;796;0;1083;0;1176;0;1107;0;0;771;0;0;0;0
0;1178;0;0;0;0;0;813;944;0;1194;819;921;0;0;0
1045;1172;0;0;981;0;0;735;897;1091;0;0;940;0;728;0
